0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
-10.03040772,-31.93745789,-7.004196729,-3.314898497,8.488014909,1.660069907,-6.080047574,-12.54482917,-5.655844473,4.08604561,-2.713051671,11.00037778,1.291581948,-13.68315254,-6.988979878,1.90106631,-4.305920812,-0.311374211,1.080008236,2.135494894,2.616382438,5.388295522,5.429001219,6.29497692,1.893180329,7.148403333,-1.95047304,-3.101002807,3.788824767,-1.725410065,-2.410372274,10.75409922,-2.398537727,-4.225488194,-2.88438757,-10.66740699,1.269774895,-3.335979611,2.099197628,1.906856861,2.861058008,1.547352603,-3.779503049,-4.608693928,6.013917155,-11.20953306,-10.5752532,-6.620174277,15.89090919,4.680925837,-1.865641662,-5.366055723,-4.29316516,-16.14456311,4.815402509,-9.052571794,-2.909978676,-4.797484234,-4.797204382,-6.286997164,11.02796881,0.826120879,4.523213033,-4.672730794,2.757986374,-3.667441535,0.797009611,-0.150058909,-3.300866931,-2.226587701,-1.353892172,1.386701813,-4.015950967,0.753374961,-3.566338509,-1.825765253,-14.54880459,6.224808909,3.125479666,-2.796145204,4.969278206,-1.357904853,-1.214245426,-6.045988272,-3.27532363,0.349759283,-1.392353876,-3.989113337,-7.492935269,-0.912538658,4.660882286,7.47729078,-1.135202318,2.667974908,-8.997603162,1.916699381,-1.093465182,-2.524637854,1.45984543,0.020640503,-0.518346418,-0.05901238,2.483171096,3.038989652,-2.040891182,0.457378873,4.317924882,8.582515191,-0.614937444,-0.29864497,4.739440693,-1.770277345,1.766134394,3.57291626,7.04869684,-0.406511362,2.023497596,0.889432621,-4.187370527,0.824905586,2.630771246,-0.648029597,1.794674001,0.625560314,-6.098136647,7.713848964,0.775440156,1.059779237,1.884383597,-1.637161711,-1.852365219,0.337853716,3.314082644,1.672787208,-3.426361865,5.20136878,6.217491505,-1.828423972,-3.554509198,1.009308937,-0.293254934,-0.170205517,4.804907266,-0.054309063,-2.178365971,-2.913743112,2.618920876,4.73808133,-3.223314235,-2.768182699,3.539269687,-1.46484253,1.729611731,3.635020084,2.547116921,-2.99063575,1.481970795,2.866460044,1.196272776,3.249329461,-3.318145448,0.263350722,1.649118846,2.261074475,2.178199998,-1.848912711,1.919290722,-2.334479057,1.619509721,-4.317078427,2.747332412,-2.646238685,4.213722223,3.529614413,-6.532312966,1.932037366,-3.318273959,-1.074265835,-4.993292709,-2.241534266,-0.343404697,-2.468505084,0.829833823,-4.435604444,-3.311159077,-0.668444855,-2.173493826,0.838981733,4.735829701,1.925353853,1.200304302,2.031500598,-3.182025846,-4.119656362,1.262008043,2.786077375,-0.116312599,2.448542651,0.78049451,2.598564321
2.84486319,-26.37342796,-1.147312873,1.516497978,7.032007545,-0.732766752,-6.537394677,-8.302715956,-5.871403613,4.063167396,-0.312372605,7.141356602,0.028883347,-11.6203292,-7.962987007,-5.360128444,-0.63098863,0.442594175,0.396527343,0.387850676,-0.659053746,6.543394039,1.483721906,-1.227420627,0.408439032,3.067314618,0.538532844,-0.619158115,3.089190372,-0.685714157,1.286714045,4.881558301,-2.770942387,-1.923245211,-0.799815034,-11.332102,1.072424249,2.169702413,0.235322261,1.623112862,-0.225769273,0.887801378,-2.100776245,-7.486722762,5.352642294,-13.94363612,-9.602661141,-6.524402036,18.56095668,3.326298136,-1.490627526,-7.729419834,-5.949350037,-15.50731024,7.460576987,-8.899784836,-3.033158266,-5.084497752,-7.606364552,-7.084499916,10.22917901,0.807464748,3.063445914,-4.223800899,3.300744241,-2.356060119,0.686730095,-1.401483946,-0.38752241,-2.756476331,1.403294775,-0.757163051,-5.327696609,4.012438643,-2.004453451,-2.693203534,-9.966964434,8.016779412,1.97647524,0.834760527,1.504304331,-3.072304959,-3.611671601,-4.084345881,-1.113132861,2.456031119,-2.748300033,-4.955444423,-5.51108064,-2.443463821,2.534921666,7.946213676,-1.884304699,1.702579395,-8.674629548,5.529215799,0.09054042,-2.397485275,0.11380206,-1.635188304,-1.026857416,0.274855938,5.050239715,3.235561678,-0.498685993,1.06229341,7.402666151,8.934805136,-1.669760404,-2.308284399,7.515339298,-1.465213689,1.078839837,2.926865802,4.383432568,-0.835580795,-0.453482601,0.255368633,-4.415058041,-0.469610985,0.83791639,1.41758757,3.719336216,-3.36125325,-4.480423181,7.569641938,-0.996267615,0.924834308,3.743840546,-2.541976255,1.014907764,0.621070093,0.896235643,3.089164121,0.373558485,1.459532114,6.125492627,-0.523929567,-2.468196621,1.559629457,-2.38972549,0.391701882,2.122695018,1.319430302,-0.657494069,-3.496244941,1.906374925,2.220783165,-1.781276378,-2.870929457,1.934157576,-1.035476245,-2.814431213,3.226965815,-0.508517105,-0.730315851,0.804152451,1.154703862,0.895665988,3.455663472,-2.857237948,0.161853662,-0.084260631,-0.489578721,-0.727925487,-1.946052739,0.55115993,-6.01052392,-0.076904905,-4.072569308,-0.19386812,-0.566408951,1.40731679,2.716582221,-1.866925627,0.408460283,-0.852453969,0.262174923,-3.028224446,-0.749108793,-0.21814799,-0.460298929,1.67112323,-0.897049913,-2.058394703,-0.855227728,-2.215365961,1.250169669,4.216646867,1.142133136,-2.301562013,-0.557945266,-2.657435572,-3.032381591,-0.807382948,3.512650289,1.271093506,2.441135544,-0.82032189,0.076684044
0.717932373,-1.342931535,-0.262713595,0.083575357,-0.223588018,-0.186476758,-0.488309529,-0.630838494,-0.279878735,0.1245616,-0.12541886,0.021909695,0.396771451,-0.704727119,-0.476434608,-0.212352196,0.038022315,-0.076454185,-0.050729628,-0.178728044,0.209414545,0.651272351,-0.138790235,-0.235559144,0.003815964,0.367439916,-0.027194964,0.053158841,0.116395548,0.071921339,0.011081712,-0.434006102,-0.286035536,-0.004427311,0.112390328,0.005593512,0.002207381,0.262102354,-0.54571977,-0.068273083,0.015483255,0.223358797,0.093163173,-0.481974258,0.333952763,-1.141415287,-0.682303473,-0.498726636,0.961694136,0.382638682,-0.439414082,-0.468504142,-0.459204809,-0.973064955,0.347780757,-0.709486488,-0.228303195,-0.327387523,-0.401715741,-0.696761082,0.477942514,0.325873001,0.23039073,-0.096537279,0.146219344,0.296614002,-0.152056213,-0.103783962,-0.222926257,-0.406315155,-0.152204778,-0.194564914,-0.464232109,0.290995936,0.115227644,-0.124340112,-0.503383931,0.550094733,0.126928655,-0.373998215,-0.243575502,-0.312600763,-0.406044324,-0.049682576,-0.038724137,-0.016102504,-0.365976993,-0.252721703,-0.741777847,0.094211949,0.110509492,0.673781069,0.037690219,0.186592871,-0.848225698,-0.316264451,-0.27346999,-0.183993618,0.33986211,-0.137675843,-0.308446169,-0.311976822,0.169328241,0.44720364,-0.416647397,0.036654753,0.132750288,0.428738226,-0.042987417,0.123543076,0.096395341,-0.127406584,-0.20063695,0.045571997,0.341295564,0.227286939,-0.08981234,-0.177416738,-0.179991575,-0.074690511,0.028334368,0.218282219,-0.095451151,-0.293880679,-0.286695087,0.547369914,0.067921467,-0.074786307,0.160602423,0.118531209,0.040780109,0.270829192,0.251015763,-0.114484575,-0.092920924,0.242570299,0.363003944,-0.12748521,-0.160411936,-0.412689927,0.146642737,0.102164869,0.581065623,-0.233276019,-0.148238993,0.133949415,0.039317741,0.174011945,-0.387588204,-0.306827959,0.233126936,-0.050097804,-0.284463727,0.021778249,-0.037826403,-0.17907697,0.059967645,0.250610862,0.343055866,-0.029054149,-0.387259859,0.241967055,0.179633086,0.313274794,-0.249901423,-0.528086089,0.047220212,-0.333058095,0.028000625,0.252211751,0.136543209,0.377391512,-0.189585438,0.352687065,0.008656412,-0.182980388,-0.36970441,0.010599426,0.025583206,0.074689186,0.341578353,0.396434136,0.229415645,-0.187982576,-0.123376475,-0.022796181,-0.469693833,0.367364182,0.077176587,0.403561953,-0.329920857,0.058976261,-0.037240984,0.190057998,0.037467305,-0.371476961,-0.099065259,-0.284912122,0.051361606,0.322190121
0.632490453,-5.091711212,-1.35340765,-0.076321547,0.32316438,-0.329170369,-2.044085046,-2.802600888,-1.039725999,0.752100994,0.824135439,1.480626517,1.055786835,-3.926625341,-1.424514351,-0.503602324,-0.144622284,-0.895039454,-0.427011235,0.002937238,0.742093314,-0.212762679,0.310623007,0.483746756,-0.339681044,0.408897841,0.646905101,0.550907265,0.036507891,-0.50284711,0.76888734,0.80932316,-1.330539945,0.083611459,0.945696677,-1.597224313,-0.672163011,-0.029358065,-0.572986424,-0.176791836,-0.794187863,0.785604793,-0.093191697,-1.315189271,1.408059532,-1.89393918,-1.734096951,-0.830715761,3.173584015,1.190350598,-0.554001116,-1.169600893,-1.181546154,-3.392485049,1.03458247,-1.865821525,-0.235186905,-1.082240603,-1.344427045,-1.258191746,1.902142311,1.086915454,0.962476592,-0.315038049,0.899170592,-0.803655374,0.06222472,-0.028227573,-0.589679012,0.022278396,-0.574732444,0.14347426,-0.159767261,-0.144808925,-0.478531681,-0.677178526,-1.47343219,1.024791398,0.888328748,0.018455078,-0.952658368,-0.551416155,-0.596991188,-0.379479507,0.297355649,0.389995626,-0.391361062,-1.009866858,-0.893722282,-0.390332297,0.714535662,1.897626005,-0.243588309,0.413205446,-1.898789455,-1.033170453,-0.041801712,-0.493731306,0.690754559,-0.219396258,0.710980482,0.30055471,1.088207886,1.052634104,0.479405029,-0.116662698,1.154815119,1.44823038,0.45445297,-0.004486544,1.383748295,-0.733894994,-0.408580221,0.379007817,0.917831017,0.13533747,0.167801525,-0.350264073,-0.677616457,0.628250841,0.275690327,-1.334682018,1.098503272,-0.69665185,-1.190150323,1.156023218,-0.072424659,-0.213166262,0.425665322,0.122541389,-0.371534433,0.297748049,1.277166496,0.831887708,-0.123325361,0.501880432,0.452084,0.133488201,-0.378815485,-0.391211017,0.60471653,-0.418085163,-0.261245438,-0.023216853,-0.189289647,0.069516297,0.520667658,0.522408445,-0.961851076,-0.398433994,0.592018363,-0.713830718,-1.039206909,0.502165915,-0.463451207,-0.673903276,0.350912521,0.729047152,0.226296487,0.255141552,-0.584966012,0.244097878,0.411805019,0.090388456,0.306268515,-0.315171919,0.422648489,-0.239826455,0.156542258,-0.469269857,0.172341573,0.34702791,-0.530628424,0.481224091,-0.875573325,-0.193431776,-2.090565659,0.392709849,0.076153953,-0.187112012,0.830217082,0.482985361,0.13989594,-0.017277528,-0.879094218,-0.867515819,0.182447375,0.593843024,0.586454827,0.081446328,0.175815078,-0.156879918,-0.451053234,0.115358004,-0.463408406,-0.105273062,0.312435826,0.485727431,-0.249816173,-0.775874398
0.675798848,-1.139105223,0.116208574,0.015776997,0.438748421,0.397050612,-0.072877615,-0.315783508,-0.412404939,-0.199023493,0.244102669,0.670548126,0.212951373,-0.407815222,-0.261557225,-0.65788102,0.180729052,-0.325833371,-0.098126908,0.084419781,0.284481824,-0.134605874,0.026885802,0.193641025,-0.12352689,0.71864057,0.323637023,-0.070470314,-0.007663443,0.082400758,-0.033035688,0.190594489,-0.399627084,0.025456924,0.105681722,0.226710002,0.166501517,-0.274434739,-0.236901626,0.041992791,-0.118859719,-0.147866962,-0.01314444,-0.424509033,0.232003944,-0.98933115,-0.275819156,-0.329591443,0.545569412,0.078403965,-0.294386925,-0.539271982,-0.180152655,-0.392840932,0.446414653,-0.289019185,-0.118107329,-0.382721215,-0.374787385,-0.546974,0.476833844,0.190756213,0.159295169,-0.025481869,0.020145473,-0.031637215,0.140920261,-0.008293418,0.026648132,-0.328964368,0.128119306,0.022150999,-0.313978547,0.083481297,-0.167571894,-0.098857357,-0.235063525,0.255045759,0.110921524,-0.108502238,0.012505786,-0.534093679,-0.191542951,0.116596707,-0.006764028,-0.088509418,-0.38353553,0.203231979,-0.294313131,0.04794668,0.133982297,0.413048605,-0.229205747,-0.119510467,-0.780536804,0.266651504,-0.116579169,-0.06182936,-0.297094992,0.411285925,0.145883169,-0.092881277,-0.064266151,0.200058397,-0.084505485,0.396227742,0.020667874,0.367308355,-0.025606357,-0.063207306,0.070049602,-0.062260328,0.022169568,-0.047127104,0.118905836,0.170618488,-0.038060429,-0.500933696,0.162559233,-0.003676912,0.099213714,-0.052591007,0.758814504,0.072595899,-0.177552734,0.027629949,-0.14510943,0.074353027,0.150436255,-0.194318919,-0.235318708,-0.095594518,-0.023110404,0.205483656,-0.224463885,0.20816641,0.06516685,0.18337406,0.430991543,-0.018015234,0.277400548,0.068014159,0.075219221,-0.060729322,0.120563056,-0.088311559,0.243030879,0.161554087,-0.176082002,0.049745807,-0.089827402,-0.266032708,-0.188022572,-0.350133177,-0.144567929,0.211218353,-0.172707963,-0.06958306,-0.341171402,0.12259369,-0.025242854,0.013259757,-0.118838738,-0.167213177,0.05148248,0.185330068,0.211327253,-0.103302107,-0.322792852,-0.08392983,0.075534285,0.070636722,0.095233269,0.183540415,-0.278675133,-0.076092204,-0.261728628,-0.245095029,0.085197668,0.084797399,-0.206249607,-0.030186708,-0.378778462,0.120367737,0.013513325,0.047047048,-0.279901488,-0.097857449,0.293146495,0.149253445,-0.117240413,-0.268709034,-0.063259205,-0.348795666,0.080618879,0.375155154,0.046842251,0.023411285,-0.094430177,0.118335538
0.092890335,-0.104431041,-0.044268923,-0.064199718,-0.086931521,0.059435098,-0.138913549,-0.090738535,0.034782365,0.005800283,-0.013590986,-0.040566007,0.048857318,-0.089043272,-0.011832789,-0.042764482,0.025265168,0.022612946,0.006468374,0.018962298,0.03468301,-0.030003324,0.046722079,-0.006704651,-0.024687657,0.053812467,0.044303015,-0.041429427,0.031258005,0.08953714,0.028307442,-0.049258148,-0.070287514,-0.019469747,0.108085528,-0.078478184,0.031876178,0.020558478,-0.044521343,-0.03585605,-0.024059627,-0.000452311,0.055474252,-0.052837726,0.027609104,-0.080072422,-0.035908376,-0.033076787,0.091970205,0.039077129,-0.049639635,-0.06734838,-0.060983786,-0.014619971,0.032692666,-0.050713941,-0.016210656,-0.009602751,-0.062250989,-0.029434149,0.011220744,0.00422628,0.008271105,-0.020379692,0.026502544,-0.006275188,0.035756487,-0.019439353,-0.050385895,0.001735173,0.035040508,-0.009368399,-0.036155296,0.038121413,-0.002225396,-0.014590282,-0.035098206,0.060962506,0.028283706,-0.046862395,-0.040518217,-0.043102316,0.00529637,0.003534714,0.01534471,0.038677481,-0.029906056,-0.02259726,-0.051204063,0.005306741,0.032479483,0.035442964,-0.008215185,-0.043032292,-0.060792428,-0.011998118,-0.001791555,0.004139155,0.005492919,-0.029224068,-0.01454275,0.016719603,-0.022590448,-0.011012227,0.020519737,-0.007532476,0.035105879,0.039159844,0.020216838,0.027887493,0.052825963,-0.012986428,-0.009620362,0.019231625,-0.010119759,0.038641963,-0.016983234,0.015036332,-0.020951746,-0.011919895,0.016572015,-0.043363104,-0.021185591,0.000430789,-0.033427821,0.038213664,-0.014472848,0.036919765,0.013502481,-0.010899119,0.014189711,-0.012273344,-0.020937319,-0.005119515,0.026999522,0.003462133,0.056477198,-0.028358265,0.006704262,-0.022077201,0.031710702,0.03299443,0.052496529,0.075882221,0.020831515,0.020029208,0.042438779,-0.02202347,0.039841683,-0.035664883,0.023231453,-0.002038237,-0.017184752,0.038406843,-0.007783853,-0.062276661,0.025037371,0.01964445,0.006737739,0.012058539,-0.047423357,0.003544476,0.021433178,0.024583897,0.019103156,0.013141686,0.024311699,0.007774144,-0.051649306,-0.011467388,-0.002934108,0.018050998,0.005420079,0.0312842,-0.004194714,-0.073882356,-0.013758075,-0.044834753,0.01851339,0.014020558,0.006409954,-0.012279573,0.088093899,-0.008200708,0.025858223,-0.000645714,0.01801365,-0.015455095,0.038074065,0.015553067,-0.021279823,0.007455988,-0.010617118,0.027977574,-0.022464156,-0.053834468,-0.013199435,0.006649995,-0.036702556,0.024665562
0.11934901,-0.458504818,-0.155746261,-0.105537888,-0.078668894,0.031326842,-0.157765344,-0.188534006,-0.263000239,0.113938733,0.051165266,-0.026739453,0.282090882,-0.349808858,-0.080011155,-0.164698976,-0.109338427,-0.191162538,0.046934465,0.068452964,0.071945775,-0.128664349,-0.019045996,0.094549638,-0.223743362,0.07292318,-0.024659157,0.063969253,-0.00839869,0.060444193,0.098256943,0.069674443,-0.144503715,0.173736909,0.044682844,-0.205885123,-0.172635332,-0.139096159,-0.034872208,0.015198952,-0.067415477,-0.038530029,-0.020239329,-0.097533555,0.143647957,-0.281984311,-0.274629909,-0.156121312,0.262636799,0.111995401,-0.026117135,-0.112979941,-0.124623459,-0.277012652,0.017406413,-0.202657697,-0.100608374,-0.003536144,-0.140224303,-0.173641959,0.136803694,0.123761601,0.086576044,-0.046993518,0.012139024,-0.04123028,-0.029234769,-0.046429368,-0.046109189,0.035309746,-0.11765935,0.073083616,-0.078330461,0.090424929,-0.080029104,-0.047135768,-0.242385129,0.160200961,0.043921877,-0.051606532,0.09331824,-0.172658565,-0.083380912,-0.067750575,0.069273015,0.182722621,-0.172330126,-0.170041697,-0.250214946,0.038060526,0.027519475,0.205022085,0.006766233,-0.104274603,-0.267937485,-0.068762363,0.085216177,0.02334865,0.095443545,-0.019505762,0.041119974,0.067066553,0.147383019,0.188142039,-0.069638569,-0.076455866,0.084610062,0.144576436,0.079750756,0.049165184,0.264386958,-0.123254611,-0.018838286,-0.059365521,0.009706398,0.009793581,0.046272046,-0.115983379,-0.075352489,-0.081571061,0.134352861,-0.066940091,0.121261063,-0.107270086,-0.015441793,0.164891325,0.163640488,-0.008738759,0.137810776,-0.108810835,0.046496833,0.085976659,0.126710049,0.033177189,0.099608125,-0.063813027,0.234971231,-0.111861631,-0.066318917,-0.011244583,-0.048715813,-0.123807244,0.17079839,0.072074197,-0.008996648,0.010592709,0.218030515,0.075256098,0.089284174,-0.106155423,-0.038159636,0.03922837,0.051144139,0.059845944,-0.214072763,-0.266599087,-0.138885158,-0.053539298,0.140010704,-0.076075596,-0.123185649,-0.104279342,-0.032252258,0.104423964,0.143102868,0.141529764,0.0842183,-0.103924293,-0.087800762,-0.054520331,0.185015457,-0.143116763,0.052464343,-0.072685538,0.028891813,-0.118334908,-0.096122344,0.064123666,-0.047759833,-0.082973955,-0.064543987,0.037942894,0.072665082,0.017288569,0.010125397,-0.13107889,0.007827797,0.093948334,0.001853093,0.26424583,-0.020364184,0.139218616,-0.015409108,0.093671514,0.015688768,-0.195325278,0.000590797,0.179341308,0.097609295,-0.00064672
-0.396762135,-1.316636149,0.157192528,0.414913852,1.620304869,-0.206060337,-0.454398216,-0.639570471,-0.954320785,-0.157207888,-0.430735537,0.733264923,-0.121424787,-1.136319948,-0.609405971,0.210246213,0.272851741,0.436322388,-0.013619514,-0.034937246,0.316336271,0.137054183,0.443354436,0.877876098,0.709871233,0.369311339,0.182770531,0.182622262,-0.440045872,-0.523053218,0.046039446,0.593291885,-0.185010685,-0.265295357,-0.557235923,-0.101356479,0.413632964,0.251731855,-0.14383058,0.328535491,0.161469245,0.152813765,-0.354711016,-0.554489015,-0.017137671,-0.536592916,-0.810450344,-0.357827153,0.835984197,0.417667973,-0.08568216,-0.218814235,-0.413885501,-1.257217548,0.489525223,-0.292103673,-0.116233105,-0.619463116,-0.45361184,-0.664324002,0.303435623,0.291000624,0.46354454,-0.266952747,0.507262389,-0.024844501,0.089329886,0.257201951,0.206154385,-0.080004884,0.243060126,0.105944062,-0.670266197,-0.109499635,-0.186364111,-0.545474136,-0.891949515,0.473507775,0.23173655,0.163179491,-0.275049214,-0.461695507,0.373871484,-0.192583249,-0.047802525,-0.050275553,-0.272634719,-0.212999452,-0.521587387,0.198286487,0.311662241,0.626371266,-0.103230221,-0.169832357,-0.822416216,-0.050469531,-0.073630982,-0.200604197,0.014342015,-0.006588565,-0.235480796,-0.394003777,0.227193198,0.140420503,-0.144135538,0.007255295,0.550957136,0.463920021,-0.223279926,-0.073513727,0.318915945,0.009332055,0.169682884,-0.056600887,0.670580667,0.047405523,0.047574261,0.071033246,-0.455614496,0.090585759,-0.050754586,-0.370793248,-0.411224612,-0.024780005,0.223269568,0.51946042,0.374295948,0.041423856,-0.42817048,-0.172501558,0.194660728,0.277028284,0.347057522,0.302252034,-0.397779182,-0.032633029,-0.093803768,0.077270415,-0.617526283,-0.001960532,-0.063873393,-0.149051317,0.341335192,-0.251058565,-0.181893364,0.003786806,-0.164928446,-0.079101127,-0.512264721,0.008264453,0.347895715,-0.115460784,0.030933369,0.146902617,0.291813687,0.254233147,-0.099615597,0.282504495,0.015924576,-0.411316025,0.355472794,0.013317257,0.311335119,-0.531706423,-0.115870582,0.12026091,-0.002963912,-0.30338839,0.012236245,-0.419838739,0.138145894,0.475935454,-0.251720191,0.283697501,0.401502137,-0.048267674,-0.372500521,0.064916281,-0.66076036,0.262183178,0.095790546,-0.508167931,-0.329976424,0.23396232,-0.107567592,0.21942624,0.020224346,0.250424901,0.284631107,-0.115603443,-0.15816783,0.099105616,0.128103856,-0.079185068,0.187218503,0.219000991,0.316023696,0.008163225,-0.572644537,-0.043382144
1.025055551,-3.162612857,-1.176991612,-1.252558433,-0.960945573,0.018789541,-1.189916551,-1.587793338,0.444018275,0.614774921,-0.148995867,0.961863752,0.564695103,-2.041563588,-0.427249594,-0.489928986,-0.952813076,-0.020641604,0.314415314,0.238461189,-0.013650763,0.62468924,0.764864287,0.348191292,-0.641210559,-0.161435225,-0.129032343,0.413304536,0.729735658,0.393128766,0.186227722,0.064048087,-1.09555999,0.426916328,0.241805448,-1.302932723,-0.523760304,-0.591340539,-0.293034338,-0.654761144,-0.167064225,0.41447391,0.094501971,-0.078329269,1.01744774,-1.784703333,-1.797393315,-0.997203453,1.995182937,0.205511403,0.066379069,-1.106239883,-0.81651689,-2.261008292,0.468300321,-1.559156432,-0.265857478,-0.706157304,-1.231377553,-0.726857991,1.504815625,-0.277056905,0.633568742,-0.504399021,0.493146075,-0.762041034,0.08910936,-0.291403853,-0.445223497,-0.91695301,-0.776882923,0.020281797,-0.169890541,0.447723502,-0.413703426,-0.400770191,-1.412372221,1.277206822,0.148763071,-0.32482967,-0.093162147,-0.546355926,-0.975472417,-0.139406532,0.258523808,0.658984072,-0.362419843,-1.207395928,-1.061077253,-0.422442363,0.391279574,0.877768158,-0.088488358,0.354832047,-1.012052405,-0.202305505,0.489216877,0.12127286,0.142664087,-0.450529676,0.425795156,0.016081193,0.544943935,0.34604234,0.189056466,-0.319695899,0.892642399,1.092572424,0.133539444,-0.062379499,0.981279934,-0.735864774,0.151370364,-0.021420068,0.741077516,-0.095305962,0.415203601,-0.249895731,-0.785604871,0.171780544,0.351770713,-0.406476063,0.656196461,-0.360210578,-0.62271646,1.063306133,-0.139186118,-0.264031966,0.48885838,-0.373970176,-0.008973861,0.518100984,0.373374504,0.653120931,0.070606081,0.496135175,0.756148529,-0.351059367,-0.656169448,0.408265018,-0.178582599,-0.171867352,0.538281097,0.057269136,-0.445235316,0.011121275,0.378403577,-0.184807869,-0.0481337,-0.536403387,0.399096142,0.021082348,0.051233505,0.262140058,-0.29019258,-0.972673883,0.039126656,0.165937562,0.401006398,0.130179026,-0.490040495,-0.574723394,-0.222302727,0.397613636,-0.21619226,-0.05104086,0.291948314,-0.271164143,-0.193951058,-0.206574614,0.461758506,-0.065414576,0.356711167,-0.617752337,-0.428308036,0.313395909,-0.851605394,0.130519304,0.055527159,-0.4443526,-0.029322476,0.54959731,0.578189183,-0.235220079,-0.03632249,-0.216735289,-0.466724905,-0.097741565,0.127617556,0.245788615,0.154793337,0.073519837,-0.510407588,0.283077942,-0.023778014,0.207844308,0.494066091,0.194108033,0.114412361,-0.132665166
-1.411923926,-4.374408155,-0.311824758,-0.533618382,2.19879901,0.038470631,-0.562753095,-1.356442233,-1.214688553,-1.140908643,0.02772815,2.021872489,0.742663849,-1.993090359,-1.402655944,0.221391217,-1.382717425,0.477051506,1.007626143,1.154881658,-0.163513058,-1.494550733,1.977149074,2.221484038,0.676830878,2.678877718,0.034553745,0.579723867,0.228013793,-1.010748707,-0.400511618,1.820640908,-0.253033971,0.129797713,-0.351505737,-2.087153572,0.282536147,0.754033918,-0.48216346,1.324057055,-0.409666486,0.298811425,-0.808635199,-0.764241055,0.997704085,-2.097577386,-1.863798796,-0.61107284,3.498683807,1.573046062,-0.060298625,-1.044625416,-1.57085511,-2.825412496,1.550301321,-1.233190084,-0.921635518,-0.760741101,-1.323837011,-1.409204574,1.531008693,0.777839091,0.920318293,-1.239407044,0.671194894,-1.830121204,-1.188045449,-0.827078912,0.278546591,-1.006594033,-1.362456263,0.12481717,-0.923287556,1.046696412,-0.628536113,0.168996598,-2.708222326,1.338122721,0.994951877,-1.064391217,-0.12298535,-0.615049446,1.301700959,0.102799422,-1.332537977,-0.210922688,-0.393105401,-0.955102724,-1.647087316,0.373694224,0.335152837,1.122162084,-0.170134738,0.316725065,-1.884906707,0.538580311,1.659877965,1.409282258,0.68602101,0.358532164,-0.000665864,0.628835584,-0.223401658,-0.037207215,-1.436165447,0.129220347,0.582790801,1.249229964,-0.837457387,0.545597482,1.351516938,-0.750832279,-0.21402165,0.291575311,1.746369535,-0.063793913,0.654353368,0.332601473,0.096162878,0.485963841,-0.820503961,-0.814506502,-0.084003213,-0.143472989,-0.320252197,1.484341794,0.456967162,0.198236387,0.34097674,0.286103296,-0.926631906,-0.913323164,0.446559665,-0.944095389,-1.488472975,1.141882601,0.322042637,-0.40692795,-0.783203258,0.065699639,0.900188281,0.168911988,-0.477033141,-0.982180876,-0.518262286,-1.533531134,0.987980257,0.422377413,-0.417876392,-0.741718301,1.145775005,-0.26659548,1.140289688,0.020249243,-0.431319554,-0.920824099,-0.147283865,0.988835375,-0.434240791,1.307293462,-1.572620242,-1.102106597,0.577112397,-0.567546398,0.474351265,-0.604364422,0.326420928,0.128318346,0.059544893,-0.807414091,0.166945572,-0.4099081,0.350528962,-0.265528425,0.674455957,-0.633960062,0.150610651,0.447188201,0.050111922,0.969937885,-1.395260619,0.424771428,0.692427129,-1.580416564,-0.707692011,-1.154349907,0.583063066,-0.421990962,1.583233819,-0.66505415,0.583549231,0.337647578,0.786244953,0.276392778,0.148528261,0.60286794,-0.150246688,-0.146905396,-0.018686495,-0.067253162
